Name,Category,Bias,Type,URL
"9to5Mac","TECH","CENTRIST","CORPORATE","https://9to5mac.com/feed/"
"ABA Journal","LAW","LIBERAL","INDEPENDENT","https://www.abajournal.com/rss/feed/"
"ABC News - Entertainment","ENTERTAINMENT","LIBERAL","CORPORATE","https://abcnews.go.com/abcnews/entertainmentheadlines"
"ABC News - Health","HEALTH","LIBERAL","CORPORATE","https://abcnews.go.com/abcnews/healthheadlines"
"ABC News - Money","ECONOMICS","LIBERAL","CORPORATE","https://abcnews.go.com/abcnews/moneyheadlines"
"ABC News - Politics","POLITICS","LIBERAL","CORPORATE","http://abcnews.go.com/abcnews/politicsheadlines"
"ABC News - Sports","SPORTS","LIBERAL","CORPORATE","https://abcnews.go.com/abcnews/sportsheadlines"
"ABC News - Technology","TECH","LIBERAL","CORPORATE","https://abcnews.go.com/abcnews/technologyheadlines"
"ABC News - World","WORLD","LIBERAL","CORPORATE","https://abcnews.go.com/abcnews/internationalheadlines"
"AI Alignment Forum","AI","CENTRIST","INDEPENDENT","https://www.alignmentforum.org/feed.xml"
"AI News","AI","CENTRIST","INDEPENDENT","https://artificialintelligence-news.com/feed/"
"AI Trends","AI","CENTRIST","INDEPENDENT","https://aitrends.com/feed/"
"ARTnews","ARTS","LIBERAL","INDEPENDENT","https://www.artnews.com/feed/"
"Above the Law","LAW","LIBERAL","INDEPENDENT","https://abovethelaw.com/feed/"
"Aesthetica Magazine","ARTS","CENTRIST","INDEPENDENT","https://aestheticamagazine.com/feed/"
"Al Jazeera","WORLD","LIBERAL","STATE","https://www.aljazeera.com/xml/rss/all.xml"
"AllMusic","MUSIC","CENTRIST","INDEPENDENT","https://www.allmusic.com/rss"
"American Constitution Society","LAW","LIBERAL","INDEPENDENT","https://www.acslaw.org/feed/"
"American Council on Science and Health","HEALTH","CONSERVATIVE","STATE","https://www.acsh.org/rss.xml"
"Android Central","TECH","CENTRIST","CORPORATE","https://www.androidcentral.com/rss.xml"
"Android Police","TECH","CENTRIST","CORPORATE","https://www.androidpolice.com/feed/"
"Ars Technica","TECH","CENTRIST","INDEPENDENT","http://feeds.arstechnica.com/arstechnica/index/"
"Ars Technica - Science","SCIENCE","CENTRIST","INDEPENDENT","https://feeds.arstechnica.com/arstechnica/science"
"Ars Technica Space","SPACE","CENTRIST","INDEPENDENT","https://arstechnica.com/space/feed/"
"Art & Object","ARTS","CENTRIST","INDEPENDENT","https://www.artandobject.com/rss.xml"
"Art in America","ARTS","LIBERAL","INDEPENDENT","https://www.artnews.com/art-in-america/feed/"
"ArtForum","ARTS","LEFT","INDEPENDENT","https://www.artforum.com/feed/"
